date,bases,open_access_bases,bytes,open_access_bytes
"08/30/2008",765558114365,765558114365,4240444071662,4240444071662
"08/31/2008",873878673956,873878673956,4930335339470,4930335339470
"09/01/2008",884547543887,884547543887,4992811783287,4992811783287
"09/02/2008",915869155536,915869155536,5186568858160,5186568858160
"09/03/2008",935373768786,935373768786,5249562765848,5249562765848
"09/04/2008",943137029821,943137029821,5266616428091,5266616428091
"09/05/2008",948310322676,948310322676,5314738016002,5314738016002
"09/06/2008",952787939496,952787939496,5364353193910,5364353193910
"09/07/2008",978706829494,978706829494,5561267253118,5561267253118
"09/08/2008",1000930937887,1000930937887,5711646887619,5711646887619
"09/09/2008",1022144461543,1022144461543,5851374554081,5851374554081
"09/10/2008",1034476694000,1034476694000,5979590361468,5979590361468
"09/11/2008",1043475320791,1043475320791,6092129828427,6092129828427
"09/12/2008",1045013412583,1045013412583,6112713045549,6112713045549
"09/14/2008",1045305950383,1045305950383,6116670800928,6116670800928
"09/15/2008",1055670823261,1055670823261,6191639489157,6191639489157
"09/16/2008",1055672265559,1055672265559,6191643339048,6191643339048
"09/18/2008",1055892877127,1055892877127,6192182214214,6192182214214
"09/19/2008",1070679758038,1070679758038,6295081874775,6295081874775
"09/20/2008",1099045541970,1099045541970,6559982822578,6559982822578
"09/22/2008",1113645517254,1113645517254,6659858735346,6659858735346
"09/23/2008",1137015085650,1137015085650,6827465343833,6827465343833
"09/24/2008",1155249450898,1155249450898,6964362607546,6964362607546
"09/25/2008",1159600155114,1159600155114,7005212492352,7005212492352
"09/26/2008",1186289906151,1186289906151,7221686966144,7221686966144
"09/27/2008",1209780940827,1209780940827,7381130231923,7381130231923
"09/28/2008",1232581854099,1232581854099,7537306659499,7537306659499
"09/29/2008",1245689289831,1245689289831,7626665358601,7626665358601
"09/30/2008",1279600360208,1279600360208,7863099480143,7863099480143
"10/01/2008",1316036376244,1316036376244,8078192229059,8078192229059
"10/02/2008",1329309386571,1329309386571,8169859393735,8169859393735
"10/03/2008",1335187248820,1335187248820,8204178519883,8204178519883
"10/04/2008",1370118306364,1370118306364,8431865692147,8431865692147
"10/05/2008",1389633919000,1389633919000,8575714608944,8575714608944
"10/06/2008",1416153046613,1416153046613,8765899374780,8765899374780
"10/07/2008",1420506508085,1420506508085,8790947100843,8790947100843
"10/08/2008",1422014137199,1422014137199,8804648338832,8804648338832
"10/09/2008",1429118497805,1429118497805,8872659088625,8872659088625
"10/10/2008",1444948971939,1444948971939,9022813212403,9022813212403
"10/11/2008",1463123426707,1463123426707,9195523585433,9195523585433
"10/12/2008",1494865080127,1494865080127,9435028290518,9435028290518
"10/13/2008",1515421232803,1515421232803,9575808889104,9575808889104
"10/14/2008",1517828203603,1517828203603,9610139011198,9610139011198
"10/15/2008",1530908761021,1530908761021,9734431444188,9734431444188
"10/16/2008",1541635406469,1541635406469,9815232178929,9815232178929
"10/17/2008",1583215028239,1583215028239,10096170329497,10096170329497
"10/20/2008",1647500420167,1647500420167,10478649234316,10478649234316
"10/21/2008",1699023452416,1699023452416,10826704252771,10826704252771
"10/22/2008",1763183122622,1763183122622,11177124531500,11177124531500
"10/23/2008",1801827302435,1801827302435,11432372810558,11432372810558
"10/24/2008",1911005870208,1911005870208,12147406924379,12147406924379
"10/25/2008",1950639105996,1950639105996,12333534701070,12333534701070
"10/27/2008",1970457583325,1970457583325,12405336976216,12405336976216
"10/28/2008",1996520433371,1996520433371,12539072624665,12539072624665
"10/29/2008",2032542658121,2032542658121,12703683052673,12703683052673
"10/30/2008",2050740095533,2050740095533,12744499376455,12744499376455
"10/31/2008",2071269099466,2071269099466,12842323774353,12842323774353
"11/04/2008",2071501657140,2071501657140,12842901443526,12842901443526
"11/06/2008",2073585935979,2073585935979,12847532549660,12847532549660
"11/07/2008",2075734842793,2075734842793,12859266582500,12859266582500
"11/08/2008",2089373785585,2089373785585,12995138018577,12995138018577
"11/13/2008",2089482007883,2089482007883,12995384740509,12995384740509
"11/14/2008",2090414268689,2090414268689,12997522009861,12997522009861
"11/17/2008",2090744200176,2090744200176,12998242496901,12998242496901
"11/18/2008",2097610832858,2097610832858,13013013446505,13013013446505
"11/20/2008",2098966584813,2098966584813,13016194044344,13016194044344
"11/21/2008",2100765901821,2100765901821,13032523700884,13032523700884
"11/25/2008",2107005568412,2107005568412,13055922860676,13055922860676
"12/03/2008",2117402822784,2117402822784,13070782857842,13070782857842
"12/04/2008",2117817460551,2117817460551,13071670351841,13071670351841
"12/05/2008",2126964026281,2126964026281,13092278041214,13092278041214
"12/08/2008",2142085138986,2142085138986,13125136584686,13125136584686
"12/09/2008",2142994103620,2142994103620,13130232486187,13130232486187
"12/10/2008",2144081678848,2144081678848,13138105406682,13138105406682
"12/11/2008",2155363273072,2155363273072,13289304221868,13289304221868
"12/16/2008",2156885189945,2156885189945,13292596897568,13292596897568
"12/19/2008",2157507213467,2157507213467,13294134876255,13294134876255
"12/20/2008",2178346802579,2178346802579,13339256499203,13339256499203
"12/22/2008",2179026822794,2179026822794,13340677095987,13340677095987
"12/23/2008",2182061621108,2182061621108,13349127190854,13349127190854
"12/24/2008",2182175804919,2182175804919,13349362919747,13349362919747
"12/28/2008",2247596889035,2247596889035,13493099915593,13493099915593
"12/29/2008",2250656608990,2250656608990,13500034411352,13500034411352
"12/31/2008",2250884804980,2250884804980,13500564543075,13500564543075
"01/05/2009",2250907162710,2250907162710,13500620612035,13500620612035
"01/06/2009",2258117673262,2258117673262,13506551934848,13506551934848
"01/07/2009",2299519338375,2299519338375,13539927827628,13539927827628
"01/08/2009",2302447029416,2302447029416,13546366697281,13546366697281
"01/09/2009",2350501811367,2350501811367,13587050733925,13587050733925
"01/10/2009",2350655435962,2350655435962,13587382860416,13587382860416
"01/12/2009",2351735177788,2351735177788,13589155059378,13589155059378
"01/13/2009",2365848639280,2365848639280,13601369556752,13601369556752
"01/14/2009",2367026261644,2367026261644,13603989416808,13603989416808
"01/15/2009",2367394526051,2367394526051,13604893826960,13604893826960
"01/16/2009",2385366230950,2385366230950,13620104920025,13620104920025
"01/20/2009",2386342662841,2386342662841,13622179716049,13622179716049
"01/21/2009",2387152040573,2387152040573,13622608645144,13622608645144
"01/22/2009",2387300264617,2387300264617,13622969856557,13622969856557
"01/26/2009",2388349858561,2388349858561,13625437539251,13625437539251
"01/28/2009",2400425330259,2400425330259,13637813702850,13637813702850
"01/29/2009",2447239238926,2447239238926,13739055722224,13739055722224
"01/30/2009",2469727169420,2469727169420,13787418125717,13787418125717
"01/31/2009",2473672898345,2473672898345,13796100973286,13796100973286
"02/02/2009",2478093090020,2478093090020,13846703174305,13846703174305
"02/03/2009",2523730857780,2523730857780,14242942052094,14242942052094
"02/04/2009",2540348287329,2540348287329,14364342883330,14364342883330
"02/05/2009",2543196992344,2543196992344,14383671712580,14383671712580
"02/06/2009",2544568491994,2544568491994,14384985744663,14384985744663
"02/09/2009",2544685697776,2544685697776,14385278711075,14385278711075
"02/10/2009",2545559336369,2545559336369,14387315550418,14387315550418
"02/11/2009",2553752219427,2553752219427,14394948383297,14394948383297
"02/12/2009",2556361925088,2556361925088,14398926151570,14398926151570
"02/13/2009",2557970962403,2557970962403,14409277957242,14409277957242
"02/17/2009",2569518462532,2569518462532,14488559707594,14488559707594
"02/18/2009",2571720180782,2571720180782,14490809881403,14490809881403
"02/19/2009",2573189225254,2573189225254,14494431744340,14494431744340
"02/20/2009",2575559465489,2575559465489,14496914632551,14496914632551
"02/23/2009",2586171072497,2586171072497,14563212690013,14563212690013
"02/24/2009",2586317619231,2586317619231,14563509010567,14563509010567
"02/26/2009",2586472731662,2586472731662,14563867311992,14563867311992
"02/27/2009",2611704215661,2611704215661,14583729923964,14583729923964
"02/28/2009",2621278394585,2621278394585,14591852055805,14591852055805
"03/03/2009",2745212087777,2745212087777,14730431168402,14730431168402
"03/04/2009",2829486226594,2829486226594,14800900573412,14800900573412
"03/05/2009",2883742477428,2883742477428,14846239515534,14846239515534
"03/06/2009",2939066932783,2939066932783,14969701528210,14969701528210
"03/07/2009",2979806822311,2979806822311,15004442876684,15004442876684
"03/08/2009",3001742559214,3001742559214,15022814930312,15022814930312
"03/09/2009",3034345782926,3034345782926,15058410001077,15058410001077
"03/10/2009",3073826752134,3073826752134,15117012543803,15117012543803
"03/11/2009",3094986511083,3094986511083,15141099174068,15141099174068
"03/13/2009",3095300032965,3095300032965,15141794158817,15141794158817
"03/16/2009",3095476664083,3095476664083,15142232829271,15142232829271
"03/17/2009",3095573061926,3095573061926,15142480437381,15142480437381
"03/18/2009",3095936040662,3095936040662,15143260790171,15143260790171
"03/19/2009",3095936176385,3095936176385,15143261272169,15143261272169
"03/20/2009",3096220114570,3096220114570,15143958090427,15143958090427
"03/23/2009",3097080866062,3097080866062,15145915147534,15145915147534
"03/24/2009",3097082820108,3097082820108,15145919399361,15145919399361
"03/25/2009",3102084740211,3102084740211,15157325493057,15157325493057
"03/26/2009",3102174586222,3102174586222,15157542609715,15157542609715
"03/30/2009",3105715684066,3105715684066,15159750477062,15159750477062
"04/01/2009",3107164843700,3107164843700,15161057381270,15161057381270
"04/02/2009",3107329670166,3107329670166,15161472255392,15161472255392
"04/06/2009",3111317879525,3111317879525,15177038366140,15177038366140
"04/08/2009",3121799817103,3121799817103,15192333034837,15192333034837
"04/09/2009",3200234229197,3200234229197,15250894770112,15250894770112
"04/10/2009",3260912439419,3260912439419,15302166217643,15302166217643
"04/11/2009",3317518598543,3317518598543,15346055710702,15346055710702
"04/12/2009",3374554812761,3374554812761,15390695759941,15390695759941
"04/13/2009",3474707673165,3474707673165,15477160080780,15477160080780
"04/14/2009",3561874209154,3561874209154,15716127424296,15716127424296
"04/15/2009",3610435810104,3610435810104,16076376953652,16076376953652
"04/16/2009",3646899240725,3646899240725,16337333148867,16337333148867
"04/17/2009",3685977252869,3685977252869,16438305912381,16438305912381
"04/18/2009",3754285027069,3754285027069,16955358855715,16955358855715
"04/19/2009",3817869047769,3817869047769,17441243909859,17441243909859
"04/20/2009",3875702737719,3875702737719,17880991847486,17880991847486
"04/21/2009",3941313081154,3941313081154,18364459497002,18364459497002
"04/22/2009",4048561246561,4048561246561,19146100792216,19146100792216
"04/23/2009",4199854136876,4199854136876,20235910949377,20235910949377
"04/24/2009",4268893636411,4268893636411,20766037284527,20766037284527
"04/25/2009",4287788754356,4287788754356,20905201211161,20905201211161
"04/27/2009",4288097583276,4288097583276,20907577390818,20907577390818
"04/28/2009",4303309073853,4303309073853,21042333495373,21042333495373
"04/29/2009",4337012165012,4337012165012,21285619672980,21285619672980
"04/30/2009",4380815482979,4380815482979,21616239338879,21616239338879
"05/03/2009",4380958338824,4380958338824,21616547047556,21616547047556
"05/04/2009",4381659448224,4381659448224,21621593678239,21621593678239
"05/05/2009",4457869788427,4457869788427,22127865235968,22127865235968
"05/06/2009",4494945456100,4494945456100,22153248295217,22153248295217
"05/07/2009",4519594136478,4519594136478,22170823769511,22170823769511
"05/08/2009",4626932858039,4626932858039,22253906071426,22253906071426
"05/09/2009",4627626273628,4627626273628,22255371078755,22255371078755
"05/13/2009",4636124086027,4636124086027,22273518320477,22273518320477
"05/14/2009",4712414563352,4712414563352,22338229869911,22338229869911
"05/17/2009",4713899627552,4713899627552,22341369569765,22341369569765
"05/20/2009",4716996236802,4716996236802,22346333941679,22346333941679
"05/22/2009",4862621408162,4862621408162,22456108019083,22456108019083
"05/27/2009",4897244138763,4897244138763,22482357536005,22482357536005
"05/28/2009",4905916450261,4905916450261,22497076609038,22497076609038
"05/29/2009",4922033481973,4922033481973,22508034162202,22508034162202
"06/01/2009",5023571820950,5023571820950,22583275585513,22583275585513
"06/02/2009",5066325451685,5066325451685,22617898814758,22617898814758
"06/03/2009",5066597641058,5066597641058,22618515241380,22618515241380
"06/04/2009",5067033854342,5067033854342,22619483349225,22619483349225
"06/05/2009",5068242190502,5068242190502,22622419595856,22622419595856
"06/09/2009",5167042217566,5167042217566,22721609231711,22721609231711
"06/10/2009",5404144569541,5404144569541,22932428213190,22932428213190
"06/11/2009",5504252913341,5504252913341,23038632193881,23038632193881
"06/12/2009",5512941811685,5512941811685,23061385558581,23061385558581
"06/13/2009",5546067857718,5546067857718,23087185508145,23087185508145
"06/14/2009",5550775626894,5550775626894,23091108970674,23091108970674
"06/15/2009",5562779270451,5562779270451,23108422533001,23108422533001
"06/16/2009",5712073496427,5712073496427,23385936865699,23385936865699
"06/17/2009",5722585087275,5722585087275,23396034824223,23396034824223
"06/18/2009",5824569524438,5824569524438,23473936552596,23473936552596
"06/19/2009",5879841106787,5879841106787,23529608353829,23529608353829
"06/20/2009",5907950814123,5907950814123,23556375489452,23556375489452
"06/21/2009",5941166065859,5941166065859,23579184861569,23579184861569
"06/22/2009",5980072577336,5980072577336,23827885096627,23827885096627
"06/23/2009",5992125332063,5992125332063,23841586259884,23841586259884
"06/24/2009",6022076495842,6022076495842,23869833519116,23869833519116
"06/25/2009",6058244879672,6058244879672,23927162933980,23927162933980
"06/26/2009",6081843565070,6081843565070,23952711951280,23952711951280
"06/29/2009",6083026660512,6083026660512,23957465380809,23957465380809
"06/30/2009",6131280584734,6131280584734,23996279880702,23996279880702
"07/01/2009",6146919690612,6146919690612,24010104358656,24010104358656
"07/06/2009",6168711574383,6168711574383,24026307753189,24026307753189
"07/07/2009",6172277292776,6172277292776,24031003645712,24031003645712
"07/08/2009",6176811959962,6176811959962,24034942872343,24034942872343
"07/09/2009",6191382721288,6191382721288,24045828332706,24045828332706
"07/10/2009",6239593477540,6239593477540,24084093123836,24084093123836
"07/11/2009",6264985023140,6264985023140,24102335041751,24102335041751
"07/13/2009",6267363744486,6267363744486,24104623313636,24104623313636
"07/15/2009",6301985675884,6301985675884,24179947487482,24179947487482
"07/16/2009",6310879535641,6310879535641,24200368046402,24200368046402
"07/17/2009",6328525348194,6328525348194,24216045575590,24216045575590
"07/18/2009",6328643574557,6328643574557,24216346786434,24216346786434
"07/20/2009",6329834593852,6329834593852,24218835772199,24218835772199
"07/21/2009",6338281010684,6338281010684,24227016960933,24227016960933
"07/22/2009",6343999918321,6343999918321,24236116725609,24236116725609
"07/23/2009",6344717406518,6344717406518,24237093294785,24237093294785
"07/24/2009",6348505761470,6348505761470,24241117800655,24241117800655
"07/25/2009",6381094629682,6381094629682,24269374972245,24269374972245
"07/26/2009",6387956426379,6387956426379,24275561569523,24275561569523
"07/27/2009",6393470619167,6393470619167,24279595383283,24279595383283
"07/28/2009",6394156280315,6394156280315,24280055722615,24280055722615
"07/29/2009",6394161212363,6394161212363,24280066983299,24280066983299
"07/30/2009",6394452674621,6394452674621,24280738044371,24280738044371
"08/01/2009",6395211403196,6395211403196,24281509704648,24281509704648
"08/04/2009",6401618498212,6401618498212,24285129105385,24285129105385
"08/05/2009",6403653893393,6403653893393,24286831430889,24286831430889
"08/07/2009",6403719910921,6403719910921,24287014214924,24287014214924
"08/11/2009",6608756572717,6608756572717,24458898614997,24458898614997
"08/12/2009",6710478994329,6710478994329,24535602644419,24535602644419
"08/14/2009",6743185031467,6743185031467,24558617083923,24558617083923
"08/17/2009",6749230212540,6749230212540,24563987296839,24563987296839
"08/18/2009",6762786720976,6762786720976,24575271196474,24575271196474
"08/19/2009",6765241244994,6765241244994,24577228223111,24577228223111
"08/20/2009",6766580705040,6766580705040,24578061746518,24578061746518
"08/21/2009",6776464838356,6776464838356,24606148485404,24606148485404
"08/22/2009",6792548845148,6792548845148,24619306654010,24619306654010
"08/24/2009",6908876083407,6908876083407,24696814276039,24696814276039
"08/25/2009",6919347633321,6919347633321,24708732927715,24708732927715
"08/26/2009",6930049148262,6930049148262,24717633777636,24717633777636
"08/27/2009",6930091914944,6930091914944,24717744978044,24717744978044
"08/28/2009",6953363751395,6953363751395,24883099790913,24883099790913
"08/31/2009",7061934448473,7061934448473,24966700359103,24966700359103
"09/01/2009",7346635461019,7169164630627,25146903267616,25040206020781
"09/02/2009",7485306919999,7307836089607,25253665043165,25146967796330
"09/03/2009",7485309084663,7307838254271,25253670407266,25146973160431
"09/04/2009",7486294390216,7308823559824,25255440598003,25148743351168
"09/05/2009",7597942831506,7420100353274,25338550499195,25231623413157
"09/06/2009",7758425509808,7580473248696,25450144033096,25343153063832
"09/07/2009",7973838974743,7793212919711,25623737528180,25515142688028
"09/08/2009",7989061332420,7808435277388,25633126932195,25524532092043
"09/09/2009",8006208636303,7825582581271,25643640991626,25535046151474
"09/10/2009",8006433515091,7825807460059,25643841167486,25535246327334
"09/11/2009",8024561936119,7843935881087,25663104155348,25554509315196
"09/12/2009",8025397767240,7844771712208,25663642674005,25555047833853
"09/14/2009",8051802968079,7871176913047,25681810900325,25573216060173
"09/15/2009",8376023038793,8195396983761,26013644469192,25905049629040
"09/16/2009",8579248614096,8272483819746,26164547409257,25974401083501
"09/17/2009",8657203369193,8331322861257,26221361745751,26018080516684
"09/18/2009",8684835843875,8358955335939,26245124968493,26041843739426
"09/19/2009",8691304428001,8365423920065,26252822249178,26049541020111
"09/20/2009",8697924649232,8372044141296,26257880175896,26054598946829
"09/21/2009",8758538873128,8432658365192,26350749501090,26147468272023
"09/22/2009",8763536332216,8437655824280,26359474832424,26156193603357
"09/23/2009",8899228927084,8573348419148,26444148321783,26240867092716
"09/24/2009",8944771408016,8603840635148,26676308774675,26463703944940
"09/25/2009",8954370809388,8613440036520,26682961408543,26470356578808
"09/26/2009",8972173171557,8631242398689,26695093395373,26482488565638
"09/27/2009",9003086153708,8662155380840,26716021931406,26503417101671
"09/28/2009",9003140416636,8662209643768,26716050176358,26503445346623
"09/29/2009",9008016267362,8666151097994,26720072423028,26506768532151
"09/30/2009",9008030771826,8666165602458,26720080711655,26506776820778
"10/01/2009",9012154254199,8670289084831,26724290818970,26510986928093
"10/02/2009",9024403116730,8682537947362,26733187591163,26519883700286
"10/04/2009",9025129724610,8683264555242,26733692795849,26520388904972
"10/05/2009",9029304032314,8687438862946,26739731815418,26526427924541
"10/06/2009",9034757567656,8692892398288,26744595889525,26531291998648
"10/07/2009",9137400950400,8795535781032,26817108812198,26603804921321
"10/08/2009",9146543179111,8804678009743,26825236351792,26611932460915
"10/09/2009",9146832874737,8804967705369,26825499269090,26612195378213
"10/11/2009",9147931645497,8806066476129,26826165415750,26612861524873
"10/12/2009",9149737931329,8807872761961,26830262626663,26616958735786
"10/13/2009",9576490324941,9234625155573,27123570494831,26910266603954
"10/14/2009",9577443507202,9235578337834,27127440225399,26914136334522
"10/15/2009",9623346029663,9281480860295,27269857486731,27056553595854
"10/16/2009",9645813183240,9303948013872,27331365225844,27118061334967
"10/17/2009",9645963700392,9304098531024,27331468336297,27118164445420
"10/18/2009",9647491448160,9305626278792,27332537559619,27119233668742
"10/19/2009",9653616600312,9311751430944,27369188376712,27155884485835
"10/20/2009",9654455061759,9312589892391,27370929486972,27157625596095
"10/21/2009",9660157978968,9318292809600,27375628121289,27162324230412
"10/22/2009",9663941744035,9322076574667,27384251084508,27170947193631
"10/23/2009",9665677415825,9323812246457,27386574801619,27173270910742
"10/24/2009",9666358841411,9324493672043,27387158298954,27173854408077
"10/26/2009",9666746127647,9324880958279,27392250459425,27178946568548
"10/27/2009",9680623376943,9338758207575,27458197467061,27244893576184
"10/28/2009",9692059051654,9350193882286,27468364318532,27255060427655
"10/29/2009",9701609841994,9359744672626,27481932320384,27268628429507
"10/30/2009",9705265566931,9363400397563,27485559573783,27272255682906
"10/31/2009",9705350146928,9363484977560,27485763311639,27272459420762
"11/02/2009",9725294300909,9383429131541,27506336307704,27293032416827
"11/03/2009",9741949892528,9400084723160,27520944564913,27307640674036
"11/04/2009",9745836949279,9403971779911,27526877445904,27313573555027
"11/05/2009",9748988015168,9407122845800,27529007625177,27315703734300
"11/06/2009",9749572229544,9407707060176,27531623482499,27318319591622
"11/09/2009",9749787601592,9407922432224,27532118883885,27318814993008
"11/10/2009",9761650187305,9419785017937,27598221923230,27384918032353
"11/12/2009",9761673400896,9419808231528,27598287473210,27384983582333
"11/13/2009",9762451396586,9420586227218,27599670304225,27386366413348
"11/15/2009",9773465240642,9431600071274,27607192374599,27393888483722
"11/16/2009",9868152376271,9526287206903,27677684644675,27464380753798
"11/17/2009",10055456553536,9713591384168,27801669853604,27588365962727
"11/18/2009",10150444882032,9808579712664,27871765344565,27658461453688
"11/19/2009",10282206153263,9940340983895,27963330913348,27750027022471
"11/20/2009",10372424484158,10030559314790,28025244953158,27811941062281
"11/21/2009",10379345466926,10037480297558,28029671766144,27816367875267
"11/22/2009",10427440729571,10085575560203,28061699499963,27848395609086
"11/23/2009",10432664023372,10090798854004,28065699035764,27852395144887
"11/24/2009",10500298327326,10158433157958,28111652958795,27898349067918
"11/25/2009",10512490820355,10170625650987,28123674753524,27910370862647
"11/26/2009",10516732024203,10174866854835,28126860977388,27913557086511
"11/27/2009",10643828469368,10301963300000,28223440294838,28010136403961
"11/28/2009",10715167516532,10373302347164,28356070801715,28142766910838
"11/30/2009",10741610433523,10399745264155,28378982717209,28165678826332
"12/01/2009",10830384911589,10488519742221,28529856554226,28316552663349
"12/02/2009",10883895280529,10542030111161,28649729846000,28436425955123
"12/03/2009",10894583021253,10552717851885,28675469516782,28462165625905
"12/04/2009",10894659964562,10552794795194,28675616249403,28462312358526
"12/07/2009",10901095026517,10559229857149,28682246467719,28468942576842
"12/08/2009",10918601191738,10576736022370,28693998866408,28480694975531
"12/09/2009",10919157399253,10577292229885,28694717970313,28481414079436
"12/10/2009",10929151917472,10587286748104,28723042006959,28509738116082
"12/11/2009",11041982473379,10700117304011,28832654230342,28619350339465
"12/13/2009",11041988501628,10700123332260,28832670593436,28619366702559
"12/14/2009",11057235643562,10715370474194,28846496627478,28633192736601
"12/15/2009",11282400454275,10940535284907,28999778528679,28786474637802
"12/16/2009",11341739796418,10999874627050,29041477169931,28828173279054
"12/17/2009",12075682591202,11733817421834,29598824851866,29385520960989
"12/18/2009",12155177457211,11813312287843,29651452753763,29438148862886
"12/19/2009",12155407295421,11813542126053,29651561610160,29438257719283
"12/21/2009",12196333262430,11854468093062,29679798621850,29466494730973
"12/22/2009",12270235054570,11928369885202,29727763521922,29514459631045
"12/23/2009",12359000341206,12017135171838,29788173762660,29574869871783
"12/24/2009",12422391438496,12080526269128,29830897096174,29617593205297
"12/26/2009",12436196750184,12094331580816,29839509739522,29626205848645
"12/28/2009",12436664561940,12094799392572,29839799566145,29626495675268
"12/29/2009",12439104597845,12097239428477,29841593108748,29628289217871
"12/30/2009",12446479555727,12104614386359,29849506505907,29636202615030
"12/31/2009",12459120873571,12117255704203,29858355744367,29645051853490
"01/04/2010",12460118053554,12118252884186,29860573216035,29647269325158
"01/05/2010",12493112502696,12151247333328,29884198622673,29670894731796
"01/06/2010",12548813354465,12206948185097,29925309470384,29712005579507
"01/07/2010",12612638058824,12270772889456,29969105650861,29755801759984
"01/08/2010",12668590498179,12326725328811,30012411713585,29799107822708
"01/09/2010",12674323454265,12332458284897,30016427284624,29803123393747
"01/10/2010",12717945359713,12376080190345,30061716692985,29848412802108
"01/11/2010",12852256201049,12510391031681,30159222781207,29945918890330
"01/12/2010",12853291541000,12511426371632,30161556853022,29948252962145
"01/13/2010",12867359320401,12525494151033,30174081429664,29960777538787
"01/14/2010",12882748831157,12540883661789,30188902342665,29975598451788
"01/15/2010",12891033988145,12549168818777,30195588801722,29982284910845
"01/16/2010",13107618566261,12765753396893,30348193722013,30134889831136
"01/17/2010",13208082290338,12866217120970,30408049889637,30194745998760
"01/18/2010",13257903616547,12916038447179,30439850563603,30226546672726
"01/19/2010",13403053702162,13061062746791,30523233037861,30309656250881
"01/20/2010",13459860439682,13117869484311,30574510948233,30360934161253
"01/21/2010",13514430285098,13172439329727,30686207190393,30472630403413
"01/22/2010",13649006225563,13307015270192,30792388883370,30578812096390
"01/23/2010",13790964914443,13448973959072,30887433435844,30673856648864
"01/24/2010",13836613388153,13494622432782,30921316744152,30707739957172
"01/25/2010",13989969599255,13647978643884,31083875894280,30870299107300
"01/26/2010",14310498224318,13968507268947,32113159041976,31899582254996
"01/27/2010",14459368812688,14117377857317,32223164576353,32009587789373
"01/28/2010",14527796421791,14185805466420,32286278182982,32072701396002
"01/29/2010",14610401403386,14268410448015,32395241611494,32181664824514
"01/30/2010",14613532362985,14271541407614,32401761399266,32188184612286
"01/31/2010",14613859699261,14271868743890,32402490333370,32188913546390
"02/01/2010",14628139157634,14286148202263,32415120656975,32201543869995
"02/02/2010",14724487284325,14382496328954,32480487307741,32266910520761
"02/03/2010",14737996822097,14396005866726,32494610279622,32281033492642
"02/04/2010",14738485011905,14396494056534,32494948912650,32281372125670
"02/05/2010",14888058261285,14546067305914,33084011577896,32870434790916
"02/06/2010",14889864189403,14547873234032,33088102834523,32874526047543
"02/08/2010",14891300022383,14549309067012,33091420055715,32877843268735
"02/09/2010",14894196722305,14552205766934,33094784133884,32881207346904
"02/10/2010",14947643519887,14605652564516,33128513966350,32914937179370
"02/11/2010",14973953694473,14631962739102,33145283629912,32931706842932
"02/12/2010",14976049767172,14634058811801,33146934573000,32933357786020
"02/13/2010",14976091876154,14634100920783,33147036938949,32933460151969
"02/14/2010",15349624861789,15007633906418,33550308813492,33336732026512
"02/15/2010",15349907033382,15007916078011,33550956782469,33337379995489
"02/16/2010",15363780851047,15021789895676,33639550594564,33425973807584
"02/17/2010",15615353977657,15273363022286,33835774884970,33622198097990
"02/18/2010",15656118499552,15314127544181,33864128078162,33650551291182
"02/19/2010",17634905079325,17292914123954,39738623219622,39525046432642
"02/20/2010",17639261332205,17297270376834,39742200072132,39528623285152
"02/21/2010",17659910042885,17317919087514,39759939950961,39546363163981
"02/22/2010",17677479900092,17335488944721,39797386692143,39583809905163
"02/23/2010",17947453845573,17605462890202,40031220184474,39817643397494
"02/24/2010",18017659372527,17637379805835,40124172734756,39888656461953
"02/25/2010",18079507311524,17699227744832,40170287030845,39934770758042
"02/26/2010",18226201856387,17845922289695,40245512117003,40009995844200
"02/27/2010",18230112892633,17849833325941,40254451745452,40018935472649
"02/28/2010",18232721720365,17852442153673,40256147551918,40020631279115
"03/01/2010",18545613211322,18165333644630,40521343248250,40285826975447
"03/02/2010",18552173147222,18171893580530,40534657323271,40299141050468
"03/03/2010",18558393748003,18178114181311,40545329018023,40309812745220
"03/04/2010",18691303202822,18311023636130,40612405624328,40376889351525
"03/05/2010",18848092514229,18467812947537,40725818951543,40490302678740
"03/06/2010",18848186229924,18467906663232,40726034508099,40490518235296
"03/07/2010",18848296892739,18468017326047,40726283828586,40490767555783
"03/08/2010",18862973914915,18482694348223,40734692580222,40499176307419
"03/09/2010",18872372125528,18492092558836,40792661374658,40557145101855
"03/10/2010",18879472388378,18499192821686,40796965213431,40561448940628
"03/11/2010",18981007809763,18600728243071,40889013313264,40653497040461
"03/12/2010",18987491223055,18607211656363,40896266870733,40660750597930
"03/13/2010",19000546282377,18620266715685,40904959502794,40669443229991
"03/14/2010",19000547823623,18620268256931,40904962848434,40669446575631
"03/15/2010",19657803324845,19277523758153,44176259054717,43940742781914
"03/16/2010",19775871274364,19395591707672,44264226678031,44028710405228
"03/17/2010",19823876415185,19443596848493,44288437022888,44052920750085
"03/18/2010",19909530325361,19529250758669,44402383936262,44166867663459
"03/19/2010",20119847413497,19739567846805,44563038147116,44327521874313
"03/20/2010",20244890000825,19864610434133,45507799441263,45272283168460
"03/21/2010",20292439332120,19912159765428,45703758260901,45468241988098
"03/22/2010",20365309270824,19985029704132,45754757608225,45519241335422
"03/23/2010",20451307506987,20071027940295,45812806603813,45577290331010
"03/24/2010",20565194647477,20184915080785,45893637060802,45658120787999
"03/25/2010",20578896780018,20198617213326,45902094355516,45666578082713
"03/26/2010",20589821054830,20209541488138,45911306159322,45675789886519
"03/27/2010",20639636320806,20259356754114,45950590278770,45715074005967
